item_points,item,team,role,opponent,score
11,,BDS Academy,jungle,LDLC OL,24
18,Elemental Discharge,BDS Academy,jungle,LDLC OL,24
16,Equivalent Totem,BDS Academy,jungle,LDLC OL,24
0,Fast Furious Blade,BDS Academy,jungle,LDLC OL,24
0,Final Asteroid,BDS Academy,jungle,LDLC OL,24
4,Guardian Totem,BDS Academy,jungle,LDLC OL,24
8,Hawk's Eye,BDS Academy,jungle,LDLC OL,24
0,Heavenly Vision,BDS Academy,jungle,LDLC OL,24
10,Holy Sword,BDS Academy,jungle,LDLC OL,24
0,Huntress of Souls,BDS Academy,jungle,LDLC OL,24
14,Immortal Breastplate,BDS Academy,jungle,LDLC OL,24
0,Imperious Gauntlet,BDS Academy,jungle,LDLC OL,24
21,Incapacitor,BDS Academy,jungle,LDLC OL,24
0,Legend Aura,BDS Academy,jungle,LDLC OL,24
0,Magnetic Disintegrator,BDS Academy,jungle,LDLC OL,24
0,Meteorites,BDS Academy,jungle,LDLC OL,24
20,Obsidian Battle Plate,BDS Academy,jungle,LDLC OL,24
0,Omnipresent Amulet,BDS Academy,jungle,LDLC OL,24
18,Omnipresent Spirit,BDS Academy,jungle,LDLC OL,24
0,Perfect Scythe,BDS Academy,jungle,LDLC OL,24
0,Precise Hammer,BDS Academy,jungle,LDLC OL,24
0,Rampage Momentum,BDS Academy,jungle,LDLC OL,24
10,Rock Tomb,BDS Academy,jungle,LDLC OL,24
20,Sacred Help,BDS Academy,jungle,LDLC OL,24
0,Savage Looter,BDS Academy,jungle,LDLC OL,24
11,Scythe,BDS Academy,jungle,LDLC OL,24
0,Secret Scroll,BDS Academy,jungle,LDLC OL,24
9,Sharp Blade,BDS Academy,jungle,LDLC OL,24
0,Siege Mace,BDS Academy,jungle,LDLC OL,24
0,Soul Hunter,BDS Academy,jungle,LDLC OL,24
9,Spirit of the Squire,BDS Academy,jungle,LDLC OL,24
0,Spirit of the Warrior,BDS Academy,jungle,LDLC OL,24
11,Staff of Conquered Worlds,BDS Academy,jungle,LDLC OL,24
0,Steel Aura,BDS Academy,jungle,LDLC OL,24
0,Swords of Darkness,BDS Academy,jungle,LDLC OL,24
0,The Puppeteer,BDS Academy,jungle,LDLC OL,24
0,The Stalker,BDS Academy,jungle,LDLC OL,24
0,The Visionary,BDS Academy,jungle,LDLC OL,24
0,Thirsty Dagger,BDS Academy,jungle,LDLC OL,24
0,Thirsty Scythes,BDS Academy,jungle,LDLC OL,24
0,Treasurer's Wisdom,BDS Academy,jungle,LDLC OL,24
0,Trimeteor,BDS Academy,jungle,LDLC OL,24
0,Unstoppable Lightning,BDS Academy,jungle,LDLC OL,24
11,Versatil Saber,BDS Academy,jungle,LDLC OL,24
19,Wild Claw,BDS Academy,jungle,LDLC OL,24
10,Wild Spirit,BDS Academy,jungle,LDLC OL,24
0,Arcane Adrenaline,BDS Academy,mid,LDLC OL,3
0,Arcane Explosive,BDS Academy,mid,LDLC OL,3
0,Beast Hunter,BDS Academy,mid,LDLC OL,3
0,Being of Light,BDS Academy,mid,LDLC OL,3
14,Berseker Ax,BDS Academy,mid,LDLC OL,3
6,Collecting Hammer,BDS Academy,mid,LDLC OL,3
0,Colossal Mace,BDS Academy,mid,LDLC OL,3
0,Conquering Staff,BDS Academy,mid,LDLC OL,3
0,Crown of the Dwarf King,BDS Academy,mid,LDLC OL,3
0,Dance of Death,BDS Academy,mid,LDLC OL,3
0,Death Helper,BDS Academy,mid,LDLC OL,3
0,Demon Claws,BDS Academy,mid,LDLC OL,3
25,Divine Ascent,BDS Academy,mid,LDLC OL,3
0,,BDS Academy,mid,LDLC OL,3
0,Elemental Discharge,BDS Academy,mid,LDLC OL,3
18,Equivalent Totem,BDS Academy,mid,LDLC OL,3
16,Fast Furious Blade,BDS Academy,mid,LDLC OL,3
0,Final Asteroid,BDS Academy,mid,LDLC OL,3
6,Guardian Totem,BDS Academy,mid,LDLC OL,3
0,Hawk's Eye,BDS Academy,mid,LDLC OL,3
0,Heavenly Vision,BDS Academy,mid,LDLC OL,3
0,Holy Sword,BDS Academy,mid,LDLC OL,3
0,Huntress of Souls,BDS Academy,mid,LDLC OL,3
0,Immortal Breastplate,BDS Academy,mid,LDLC OL,3
30,Imperious Gauntlet,BDS Academy,mid,LDLC OL,3
6,Incapacitor,BDS Academy,mid,LDLC OL,3
0,Legend Aura,BDS Academy,mid,LDLC OL,3
0,Magnetic Disintegrator,BDS Academy,mid,LDLC OL,3
0,Meteorites,BDS Academy,mid,LDLC OL,3
0,Obsidian Battle Plate,BDS Academy,mid,LDLC OL,3
0,Omnipresent Amulet,BDS Academy,mid,LDLC OL,3
0,Omnipresent Spirit,BDS Academy,mid,LDLC OL,3
15,Perfect Scythe,BDS Academy,mid,LDLC OL,3
0,Precise Hammer,BDS Academy,mid,LDLC OL,3
0,Rampage Momentum,BDS Academy,mid,LDLC OL,3
10,Rock Tomb,BDS Academy,mid,LDLC OL,3
0,Sacred Help,BDS Academy,mid,LDLC OL,3
0,Savage Looter,BDS Academy,mid,LDLC OL,3
19,Scythe,BDS Academy,mid,LDLC OL,3
0,Secret Scroll,BDS Academy,mid,LDLC OL,3
6,Sharp Blade,BDS Academy,mid,LDLC OL,3
0,Siege Mace,BDS Academy,mid,LDLC OL,3
0,Soul Hunter,BDS Academy,mid,LDLC OL,3
0,Spirit of the Squire,BDS Academy,mid,LDLC OL,3
0,Spirit of the Warrior,BDS Academy,mid,LDLC OL,3
0,Staff of Conquered Worlds,BDS Academy,mid,LDLC OL,3
0,Steel Aura,BDS Academy,mid,LDLC OL,3
0,Swords of Darkness,BDS Academy,mid,LDLC OL,3
0,The Puppeteer,BDS Academy,mid,LDLC OL,3
0,The Stalker,BDS Academy,mid,LDLC OL,3
0,The Visionary,BDS Academy,mid,LDLC OL,3
0,Thirsty Dagger,BDS Academy,mid,LDLC OL,3
25,Thirsty Scythes,BDS Academy,mid,LDLC OL,3
17,Treasurer's Wisdom,BDS Academy,mid,LDLC OL,3
0,Trimeteor,BDS Academy,mid,LDLC OL,3
0,Unstoppable Lightning,BDS Academy,mid,LDLC OL,3
0,Versatil Saber,BDS Academy,mid,LDLC OL,3
2,Wild Claw,BDS Academy,mid,LDLC OL,3
0,Wild Spirit,BDS Academy,mid,LDLC OL,3
0,Arcane Adrenaline,BDS Academy,bot,LDLC OL,13
0,Arcane Explosive,BDS Academy,bot,LDLC OL,13
0,Beast Hunter,BDS Academy,bot,LDLC OL,13
0,Being of Light,BDS Academy,bot,LDLC OL,13
14,Berseker Ax,BDS Academy,bot,LDLC OL,13
0,Collecting Hammer,BDS Academy,bot,LDLC OL,13
0,Colossal Mace,BDS Academy,bot,LDLC OL,13
0,Conquering Staff,BDS Academy,bot,LDLC OL,13
0,Crown of the Dwarf King,BDS Academy,bot,LDLC OL,13
0,Dance of Death,BDS Academy,bot,LDLC OL,13
0,Death Helper,BDS Academy,bot,LDLC OL,13
0,Demon Claws,BDS Academy,bot,LDLC OL,13
0,Divine Ascent,BDS Academy,bot,LDLC OL,13
0,,BDS Academy,bot,LDLC OL,13
0,Elemental Discharge,BDS Academy,bot,LDLC OL,13
16,Equivalent Totem,BDS Academy,bot,LDLC OL,13
0,Fast Furious Blade,BDS Academy,bot,LDLC OL,13
0,Final Asteroid,BDS Academy,bot,LDLC OL,13
4,Guardian Totem,BDS Academy,bot,LDLC OL,13
0,Hawk's Eye,BDS Academy,bot,LDLC OL,13
0,Heavenly Vision,BDS Academy,bot,LDLC OL,13
0,Holy Sword,BDS Academy,bot,LDLC OL,13
0,Huntress of Souls,BDS Academy,bot,LDLC OL,13
0,Immortal Breastplate,BDS Academy,bot,LDLC OL,13
0,Imperious Gauntlet,BDS Academy,bot,LDLC OL,13
6,Incapacitor,BDS Academy,bot,LDLC OL,13
0,Legend Aura,BDS Academy,bot,LDLC OL,13
0,Magnetic Disintegrator,BDS Academy,bot,LDLC OL,13
0,Meteorites,BDS Academy,bot,LDLC OL,13
0,Obsidian Battle Plate,BDS Academy,bot,LDLC OL,13
0,Omnipresent Amulet,BDS Academy,bot,LDLC OL,13
0,Omnipresent Spirit,BDS Academy,bot,LDLC OL,13
0,Perfect Scythe,BDS Academy,bot,LDLC OL,13
0,Precise Hammer,BDS Academy,bot,LDLC OL,13
0,Rampage Momentum,BDS Academy,bot,LDLC OL,13
0,Rock Tomb,BDS Academy,bot,LDLC OL,13
0,Sacred Help,BDS Academy,bot,LDLC OL,13
0,Savage Looter,BDS Academy,bot,LDLC OL,13
17,Scythe,BDS Academy,bot,LDLC OL,13
0,Secret Scroll,BDS Academy,bot,LDLC OL,13
6,Sharp Blade,BDS Academy,bot,LDLC OL,13
0,Siege Mace,BDS Academy,bot,LDLC OL,13
0,Soul Hunter,BDS Academy,bot,LDLC OL,13
9,Spirit of the Squire,BDS Academy,bot,LDLC OL,13
16,Spirit of the Warrior,BDS Academy,bot,LDLC OL,13
0,Staff of Conquered Worlds,BDS Academy,bot,LDLC OL,13
0,Steel Aura,BDS Academy,bot,LDLC OL,13
0,Swords of Darkness,BDS Academy,bot,LDLC OL,13
0,The Puppeteer,BDS Academy,bot,LDLC OL,13
0,The Stalker,BDS Academy,bot,LDLC OL,13
0,The Visionary,BDS Academy,bot,LDLC OL,13
0,Thirsty Dagger,BDS Academy,bot,LDLC OL,13
0,Thirsty Scythes,BDS Academy,bot,LDLC OL,13
17,Treasurer's Wisdom,BDS Academy,bot,LDLC OL,13
0,Trimeteor,BDS Academy,bot,LDLC OL,13
0,Unstoppable Lightning,BDS Academy,bot,LDLC OL,13
0,Versatil Saber,BDS Academy,bot,LDLC OL,13
1,Wild Claw,BDS Academy,bot,LDLC OL,13
0,Wild Spirit,BDS Academy,bot,LDLC OL,13
0,Arcane Adrenaline,BDS Academy,support,LDLC OL,10
0,Arcane Explosive,BDS Academy,support,LDLC OL,10
0,Beast Hunter,BDS Academy,support,LDLC OL,10
0,Being of Light,BDS Academy,support,LDLC OL,10
0,Berseker Ax,BDS Academy,support,LDLC OL,10
0,Collecting Hammer,BDS Academy,support,LDLC OL,10
0,Colossal Mace,BDS Academy,support,LDLC OL,10
24,Conquering Staff,BDS Academy,support,LDLC OL,10
0,Crown of the Dwarf King,BDS Academy,support,LDLC OL,10
0,Dance of Death,BDS Academy,support,LDLC OL,10
0,Death Helper,BDS Academy,support,LDLC OL,10
0,Demon Claws,BDS Academy,support,LDLC OL,10
0,Divine Ascent,BDS Academy,support,LDLC OL,10
0,,BDS Academy,support,LDLC OL,10
0,Elemental Discharge,BDS Academy,support,LDLC OL,10
14,Equivalent Totem,BDS Academy,support,LDLC OL,10
0,Fast Furious Blade,BDS Academy,support,LDLC OL,10
0,Final Asteroid,BDS Academy,support,LDLC OL,10
23,Guardian Totem,BDS Academy,support,LDLC OL,10
8,Hawk's Eye,BDS Academy,support,LDLC OL,10
22,Heavenly Vision,BDS Academy,support,LDLC OL,10
0,Holy Sword,BDS Academy,support,LDLC OL,10
0,Huntress of Souls,BDS Academy,support,LDLC OL,10
0,Immortal Breastplate,BDS Academy,support,LDLC OL,10
0,Imperious Gauntlet,BDS Academy,support,LDLC OL,10
15,Incapacitor,BDS Academy,support,LDLC OL,10
0,Legend Aura,BDS Academy,support,LDLC OL,10
0,Magnetic Disintegrator,BDS Academy,support,LDLC OL,10
0,Meteorites,BDS Academy,support,LDLC OL,10
0,Obsidian Battle Plate,BDS Academy,support,LDLC OL,10
0,Omnipresent Amulet,BDS Academy,support,LDLC OL,10
0,Omnipresent Spirit,BDS Academy,support,LDLC OL,10
0,Perfect Scythe,BDS Academy,support,LDLC OL,10
0,Precise Hammer,BDS Academy,support,LDLC OL,10
0,Rampage Momentum,BDS Academy,support,LDLC OL,10
0,Rock Tomb,BDS Academy,support,LDLC OL,10
0,Sacred Help,BDS Academy,support,LDLC OL,10
0,Savage Looter,BDS Academy,support,LDLC OL,10
1,Scythe,BDS Academy,support,LDLC OL,10
0,Secret Scroll,BDS Academy,support,LDLC OL,10
3,Sharp Blade,BDS Academy,support,LDLC OL,10
0,Siege Mace,BDS Academy,support,LDLC OL,10
0,Soul Hunter,BDS Academy,support,LDLC OL,10
9,Spirit of the Squire,BDS Academy,support,LDLC OL,10
0,Spirit of the Warrior,BDS Academy,support,LDLC OL,10
0,Staff of Conquered Worlds,BDS Academy,support,LDLC OL,10
0,Steel Aura,BDS Academy,support,LDLC OL,10
0,Swords of Darkness,BDS Academy,support,LDLC OL,10
0,The Puppeteer,BDS Academy,support,LDLC OL,10
16,The Stalker,BDS Academy,support,LDLC OL,10
18,The Visionary,BDS Academy,support,LDLC OL,10
0,Thirsty Dagger,BDS Academy,support,LDLC OL,10
0,Thirsty Scythes,BDS Academy,support,LDLC OL,10
0,Treasurer's Wisdom,BDS Academy,support,LDLC OL,10
0,Trimeteor,BDS Academy,support,LDLC OL,10
0,Unstoppable Lightning,BDS Academy,support,LDLC OL,10
0,Versatil Saber,BDS Academy,support,LDLC OL,10
0,Wild Claw,BDS Academy,support,LDLC OL,10
0,Wild Spirit,BDS Academy,support,LDLC OL,10
0,Baron' s Mask,BDS Academy,coach,LDLC OL,7
0,Big Worm Hunter,BDS Academy,coach,LDLC OL,7
0,Conquest Hammer,BDS Academy,coach,LDLC OL,7
4,Destroyer Hammer,BDS Academy,coach,LDLC OL,7
0,Elemental Dragon Soul,BDS Academy,coach,LDLC OL,7
16,Eye of the Void,BDS Academy,coach,LDLC OL,7
0,First Line,BDS Academy,coach,LDLC OL,7
0,Golden Force,BDS Academy,coach,LDLC OL,7
0,Killer Momentum,BDS Academy,coach,LDLC OL,7
0,Light Swords,BDS Academy,coach,LDLC OL,7
0,Magic Scales,BDS Academy,coach,LDLC OL,7
0,Royal Protector,BDS Academy,coach,LDLC OL,7
15,Scale Tearer,BDS Academy,coach,LDLC OL,7
0,Seal of Desecration,BDS Academy,coach,LDLC OL,7
20,Spirit of the Rift,BDS Academy,coach,LDLC OL,7
0,Underworld Guardian,BDS Academy,coach,LDLC OL,7
0,Arcane Adrenaline,LDLC OL,top,BDS Academy,14
12,Arcane Explosive,LDLC OL,top,BDS Academy,14
0,Beast Hunter,LDLC OL,top,BDS Academy,14
0,Being of Light,LDLC OL,top,BDS Academy,14
0,Berseker Ax,LDLC OL,top,BDS Academy,14
12,Collecting Hammer,LDLC OL,top,BDS Academy,14
0,Colossal Mace,LDLC OL,top,BDS Academy,14
0,Conquering Staff,LDLC OL,top,BDS Academy,14
0,Crown of the Dwarf King,LDLC OL,top,BDS Academy,14
0,Dance of Death,LDLC OL,top,BDS Academy,14
0,Death Helper,LDLC OL,top,BDS Academy,14
0,Demon Claws,LDLC OL,top,BDS Academy,14
25,Divine Ascent,LDLC OL,top,BDS Academy,14
0,,LDLC OL,top,BDS Academy,14
0,Elemental Discharge,LDLC OL,top,BDS Academy,14
18,Equivalent Totem,LDLC OL,top,BDS Academy,14
0,Fast Furious Blade,LDLC OL,top,BDS Academy,14
0,Final Asteroid,LDLC OL,top,BDS Academy,14
5,Guardian Totem,LDLC OL,top,BDS Academy,14
0,Hawk's Eye,LDLC OL,top,BDS Academy,14
0,Heavenly Vision,LDLC OL,top,BDS Academy,14
10,Holy Sword,LDLC OL,top,BDS Academy,14
0,Huntress of Souls,LDLC OL,top,BDS Academy,14
14,Immortal Breastplate,LDLC OL,top,BDS Academy,14
0,Imperious Gauntlet,LDLC OL,top,BDS Academy,14
6,Incapacitor,LDLC OL,top,BDS Academy,14
0,Legend Aura,LDLC OL,top,BDS Academy,14
11,Magnetic Disintegrator,LDLC OL,top,BDS Academy,14
0,Meteorites,LDLC OL,top,BDS Academy,14
20,Obsidian Battle Plate,LDLC OL,top,BDS Academy,14
0,Omnipresent Amulet,LDLC OL,top,BDS Academy,14
0,Omnipresent Spirit,LDLC OL,top,BDS Academy,14
0,Perfect Scythe,LDLC OL,top,BDS Academy,14
0,Precise Hammer,LDLC OL,top,BDS Academy,14
0,Rampage Momentum,LDLC OL,top,BDS Academy,14
10,Rock Tomb,LDLC OL,top,BDS Academy,14
0,Sacred Help,LDLC OL,top,BDS Academy,14
20,Savage Looter,LDLC OL,top,BDS Academy,14
18,Scythe,LDLC OL,top,BDS Academy,14
0,Secret Scroll,LDLC OL,top,BDS Academy,14
9,Sharp Blade,LDLC OL,top,BDS Academy,14
0,Siege Mace,LDLC OL,top,BDS Academy,14
15,Soul Hunter,LDLC OL,top,BDS Academy,14
0,Spirit of the Squire,LDLC OL,top,BDS Academy,14
0,Spirit of the Warrior,LDLC OL,top,BDS Academy,14
0,Staff of Conquered Worlds,LDLC OL,top,BDS Academy,14
0,Steel Aura,LDLC OL,top,BDS Academy,14
17,Swords of Darkness,LDLC OL,top,BDS Academy,14
0,The Puppeteer,LDLC OL,top,BDS Academy,14
0,The Stalker,LDLC OL,top,BDS Academy,14
0,The Visionary,LDLC OL,top,BDS Academy,14
0,Thirsty Dagger,LDLC OL,top,BDS Academy,14
25,Thirsty Scythes,LDLC OL,top,BDS Academy,14
17,Treasurer's Wisdom,LDLC OL,top,BDS Academy,14
0,Trimeteor,LDLC OL,top,BDS Academy,14
0,Unstoppable Lightning,LDLC OL,top,BDS Academy,14
0,Versatil Saber,LDLC OL,top,BDS Academy,14
2,Wild Claw,LDLC OL,top,BDS Academy,14
0,Wild Spirit,LDLC OL,top,BDS Academy,14
0,Arcane Adrenaline,LDLC OL,jungle,BDS Academy,17
0,Arcane Explosive,LDLC OL,jungle,BDS Academy,17
0,Beast Hunter,LDLC OL,jungle,BDS Academy,17
0,Being of Light,LDLC OL,jungle,BDS Academy,17
0,Berseker Ax,LDLC OL,jungle,BDS Academy,17
0,Collecting Hammer,LDLC OL,jungle,BDS Academy,17
0,Colossal Mace,LDLC OL,jungle,BDS Academy,17
0,Conquering Staff,LDLC OL,jungle,BDS Academy,17
0,Crown of the Dwarf King,LDLC OL,jungle,BDS Academy,17
0,Dance of Death,LDLC OL,jungle,BDS Academy,17
0,Death Helper,LDLC OL,jungle,BDS Academy,17
0,Demon Claws,LDLC OL,jungle,BDS Academy,17
0,Divine Ascent,LDLC OL,jungle,BDS Academy,17
0,,LDLC OL,jungle,BDS Academy,17
0,Elemental Discharge,LDLC OL,jungle,BDS Academy,17
17,Equivalent Totem,LDLC OL,jungle,BDS Academy,17
0,Fast Furious Blade,LDLC OL,jungle,BDS Academy,17
0,Final Asteroid,LDLC OL,jungle,BDS Academy,17
4,Guardian Totem,LDLC OL,jungle,BDS Academy,17
8,Hawk's Eye,LDLC OL,jungle,BDS Academy,17
0,Heavenly Vision,LDLC OL,jungle,BDS Academy,17
10,Holy Sword,LDLC OL,jungle,BDS Academy,17
0,Huntress of Souls,LDLC OL,jungle,BDS Academy,17
0,Immortal Breastplate,LDLC OL,jungle,BDS Academy,17
0,Imperious Gauntlet,LDLC OL,jungle,BDS Academy,17
12,Incapacitor,LDLC OL,jungle,BDS Academy,17
0,Legend Aura,LDLC OL,jungle,BDS Academy,17
0,Magnetic Disintegrator,LDLC OL,jungle,BDS Academy,17
0,Meteorites,LDLC OL,jungle,BDS Academy,17
20,Obsidian Battle Plate,LDLC OL,jungle,BDS Academy,17
0,Omnipresent Amulet,LDLC OL,jungle,BDS Academy,17
0,Omnipresent Spirit,LDLC OL,jungle,BDS Academy,17
0,Perfect Scythe,LDLC OL,jungle,BDS Academy,17
0,Precise Hammer,LDLC OL,jungle,BDS Academy,17
0,Rampage Momentum,LDLC OL,jungle,BDS Academy,17
10,Rock Tomb,LDLC OL,jungle,BDS Academy,17
0,Sacred Help,LDLC OL,jungle,BDS Academy,17
0,Savage Looter,LDLC OL,jungle,BDS Academy,17
10,Scythe,LDLC OL,jungle,BDS Academy,17
0,Secret Scroll,LDLC OL,jungle,BDS Academy,17
9,Sharp Blade,LDLC OL,jungle,BDS Academy,17
0,Siege Mace,LDLC OL,jungle,BDS Academy,17
15,Soul Hunter,LDLC OL,jungle,BDS Academy,17
6,Spirit of the Squire,LDLC OL,jungle,BDS Academy,17
0,Spirit of the Warrior,LDLC OL,jungle,BDS Academy,17
0,Staff of Conquered Worlds,LDLC OL,jungle,BDS Academy,17
18,Steel Aura,LDLC OL,jungle,BDS Academy,17
0,Swords of Darkness,LDLC OL,jungle,BDS Academy,17
0,The Puppeteer,LDLC OL,jungle,BDS Academy,17
0,The Stalker,LDLC OL,jungle,BDS Academy,17
0,The Visionary,LDLC OL,jungle,BDS Academy,17
15,Thirsty Dagger,LDLC OL,jungle,BDS Academy,17
0,Thirsty Scythes,LDLC OL,jungle,BDS Academy,17
0,Treasurer's Wisdom,LDLC OL,jungle,BDS Academy,17
0,Trimeteor,LDLC OL,jungle,BDS Academy,17
0,Unstoppable Lightning,LDLC OL,jungle,BDS Academy,17
0,Versatil Saber,LDLC OL,jungle,BDS Academy,17
16,Wild Claw,LDLC OL,jungle,BDS Academy,17
10,Wild Spirit,LDLC OL,jungle,BDS Academy,17
0,Arcane Adrenaline,LDLC OL,mid,BDS Academy,13
12,Arcane Explosive,LDLC OL,mid,BDS Academy,13
0,Beast Hunter,LDLC OL,mid,BDS Academy,13
0,Being of Light,LDLC OL,mid,BDS Academy,13
14,Berseker Ax,LDLC OL,mid,BDS Academy,13
6,Collecting Hammer,LDLC OL,mid,BDS Academy,13
11,Colossal Mace,LDLC OL,mid,BDS Academy,13
0,Conquering Staff,LDLC OL,mid,BDS Academy,13
13,Crown of the Dwarf King,LDLC OL,mid,BDS Academy,13
0,Dance of Death,LDLC OL,mid,BDS Academy,13
0,Death Helper,LDLC OL,mid,BDS Academy,13
17,Demon Claws,LDLC OL,mid,BDS Academy,13
25,Divine Ascent,LDLC OL,mid,BDS Academy,13
0,,LDLC OL,mid,BDS Academy,13
0,Elemental Discharge,LDLC OL,mid,BDS Academy,13
18,Equivalent Totem,LDLC OL,mid,BDS Academy,13
16,Fast Furious Blade,LDLC OL,mid,BDS Academy,13
0,Final Asteroid,LDLC OL,mid,BDS Academy,13
5,Guardian Totem,LDLC OL,mid,BDS Academy,13
0,Hawk's Eye,LDLC OL,mid,BDS Academy,13
0,Heavenly Vision,LDLC OL,mid,BDS Academy,13
10,Holy Sword,LDLC OL,mid,BDS Academy,13
19,Huntress of Souls,LDLC OL,mid,BDS Academy,13
0,Immortal Breastplate,LDLC OL,mid,BDS Academy,13
0,Imperious Gauntlet,LDLC OL,mid,BDS Academy,13
6,Incapacitor,LDLC OL,mid,BDS Academy,13
0,Legend Aura,LDLC OL,mid,BDS Academy,13
11,Magnetic Disintegrator,LDLC OL,mid,BDS Academy,13
0,Meteorites,LDLC OL,mid,BDS Academy,13
20,Obsidian Battle Plate,LDLC OL,mid,BDS Academy,13
0,Omnipresent Amulet,LDLC OL,mid,BDS Academy,13
0,Omnipresent Spirit,LDLC OL,mid,BDS Academy,13
15,Perfect Scythe,LDLC OL,mid,BDS Academy,13
0,Precise Hammer,LDLC OL,mid,BDS Academy,13
0,Rampage Momentum,LDLC OL,mid,BDS Academy,13
10,Rock Tomb,LDLC OL,mid,BDS Academy,13
20,Sacred Help,LDLC OL,mid,BDS Academy,13
0,Savage Looter,LDLC OL,mid,BDS Academy,13
23,Scythe,LDLC OL,mid,BDS Academy,13
18,Secret Scroll,LDLC OL,mid,BDS Academy,13
9,Sharp Blade,LDLC OL,mid,BDS Academy,13
0,Siege Mace,LDLC OL,mid,BDS Academy,13
0,Soul Hunter,LDLC OL,mid,BDS Academy,13
3,Spirit of the Squire,LDLC OL,mid,BDS Academy,13
0,Spirit of the Warrior,LDLC OL,mid,BDS Academy,13
0,Staff of Conquered Worlds,LDLC OL,mid,BDS Academy,13
0,Steel Aura,LDLC OL,mid,BDS Academy,13
