points,item,team,role,opponent
16,Spirit of the Warrior,Excel Esports,bot,G2 Esports
0,Staff of Conquered Worlds,Excel Esports,bot,G2 Esports
0,Steel Aura,Excel Esports,bot,G2 Esports
0,Swords of Darkness,Excel Esports,bot,G2 Esports
0,The Puppeteer,Excel Esports,bot,G2 Esports
0,The Stalker,Excel Esports,bot,G2 Esports
0,The Visionary,Excel Esports,bot,G2 Esports
0,Thirsty Dagger,Excel Esports,bot,G2 Esports
0,Thirsty Scythes,Excel Esports,bot,G2 Esports
0,Treasurer's Wisdom,Excel Esports,bot,G2 Esports
0,Trimeteor,Excel Esports,bot,G2 Esports
0,Unstoppable Lightning,Excel Esports,bot,G2 Esports
0,Versatil Saber,Excel Esports,bot,G2 Esports
0,Wild Claw,Excel Esports,bot,G2 Esports
0,Wild Spirit,Excel Esports,bot,G2 Esports
0,Arcane Adrenaline,Excel Esports,support,G2 Esports
0,Arcane Explosive,Excel Esports,support,G2 Esports
0,Beast Hunter,Excel Esports,support,G2 Esports
0,Being of Light,Excel Esports,support,G2 Esports
0,Berseker Ax,Excel Esports,support,G2 Esports
12,Collecting Hammer,Excel Esports,support,G2 Esports
0,Colossal Mace,Excel Esports,support,G2 Esports
24,Conquering Staff,Excel Esports,support,G2 Esports
0,Crown of the Dwarf King,Excel Esports,support,G2 Esports
0,Dance of Death,Excel Esports,support,G2 Esports
0,Death Helper,Excel Esports,support,G2 Esports
0,Demon Claws,Excel Esports,support,G2 Esports
0,Divine Ascent,Excel Esports,support,G2 Esports
0,Divine Impetu,Excel Esports,support,G2 Esports
0,Elemental Discharge,Excel Esports,support,G2 Esports
12,Equivalent Totem,Excel Esports,support,G2 Esports
0,Fast Furious Blade,Excel Esports,support,G2 Esports
0,Final Asteroid,Excel Esports,support,G2 Esports
17,Guardian Totem,Excel Esports,support,G2 Esports
8,Hawk's Eye,Excel Esports,support,G2 Esports
0,Heavenly Vision,Excel Esports,support,G2 Esports
0,Holy Sword,Excel Esports,support,G2 Esports
0,Huntress of Souls,Excel Esports,support,G2 Esports
0,Immortal Breastplate,Excel Esports,support,G2 Esports
0,Imperious Gauntlet,Excel Esports,support,G2 Esports
21,Incapacitor,Excel Esports,support,G2 Esports
0,Legend Aura,Excel Esports,support,G2 Esports
0,Magnetic Disintegrator,Excel Esports,support,G2 Esports
0,Meteorites,Excel Esports,support,G2 Esports
20,Obsidian Battle Plate,Excel Esports,support,G2 Esports
0,Omnipresent Amulet,Excel Esports,support,G2 Esports
0,Omnipresent Spirit,Excel Esports,support,G2 Esports
0,Perfect Scythe,Excel Esports,support,G2 Esports
0,Precise Hammer,Excel Esports,support,G2 Esports
0,Rampage Momentum,Excel Esports,support,G2 Esports
0,Rock Tomb,Excel Esports,support,G2 Esports
0,Sacred Help,Excel Esports,support,G2 Esports
0,Savage Looter,Excel Esports,support,G2 Esports
2,Scythe,Excel Esports,support,G2 Esports
0,Secret Scroll,Excel Esports,support,G2 Esports
6,Sharp Blade,Excel Esports,support,G2 Esports
0,Siege Mace,Excel Esports,support,G2 Esports
0,Soul Hunter,Excel Esports,support,G2 Esports
6,Spirit of the Squire,Excel Esports,support,G2 Esports
0,Spirit of the Warrior,Excel Esports,support,G2 Esports
0,Staff of Conquered Worlds,Excel Esports,support,G2 Esports
0,Steel Aura,Excel Esports,support,G2 Esports
0,Swords of Darkness,Excel Esports,support,G2 Esports
0,The Puppeteer,Excel Esports,support,G2 Esports
16,The Stalker,Excel Esports,support,G2 Esports
0,The Visionary,Excel Esports,support,G2 Esports
15,Thirsty Dagger,Excel Esports,support,G2 Esports
0,Thirsty Scythes,Excel Esports,support,G2 Esports
0,Treasurer's Wisdom,Excel Esports,support,G2 Esports
0,Trimeteor,Excel Esports,support,G2 Esports
0,Unstoppable Lightning,Excel Esports,support,G2 Esports
0,Versatil Saber,Excel Esports,support,G2 Esports
0,Wild Claw,Excel Esports,support,G2 Esports
0,Wild Spirit,Excel Esports,support,G2 Esports
0,Baron' s Mask,Excel Esports,coach,G2 Esports
0,Big Worm Hunter,Excel Esports,coach,G2 Esports
0,Conquest Hammer,Excel Esports,coach,G2 Esports
0,Destroyer Hammer,Excel Esports,coach,G2 Esports
0,Elemental Dragon Soul,Excel Esports,coach,G2 Esports
0,Eye of the Void,Excel Esports,coach,G2 Esports
0,First Line,Excel Esports,coach,G2 Esports
0,Golden Force,Excel Esports,coach,G2 Esports
0,Killer Momentum,Excel Esports,coach,G2 Esports
0,Light Swords,Excel Esports,coach,G2 Esports
20,Magic Scales,Excel Esports,coach,G2 Esports
0,Royal Protector,Excel Esports,coach,G2 Esports
5,Scale Tearer,Excel Esports,coach,G2 Esports
0,Seal of Desecration,Excel Esports,coach,G2 Esports
0,Spirit of the Rift,Excel Esports,coach,G2 Esports
0,Underworld Guardian,Excel Esports,coach,G2 Esports
0,Arcane Adrenaline,G2 Esports,top,Excel Esports
0,Arcane Explosive,G2 Esports,top,Excel Esports
0,Beast Hunter,G2 Esports,top,Excel Esports
18,Being of Light,G2 Esports,top,Excel Esports
14,Berseker Ax,G2 Esports,top,Excel Esports
12,Collecting Hammer,G2 Esports,top,Excel Esports
0,Colossal Mace,G2 Esports,top,Excel Esports
0,Conquering Staff,G2 Esports,top,Excel Esports
0,Crown of the Dwarf King,G2 Esports,top,Excel Esports
8,Dance of Death,G2 Esports,top,Excel Esports
0,Death Helper,G2 Esports,top,Excel Esports
0,Demon Claws,G2 Esports,top,Excel Esports
25,Divine Ascent,G2 Esports,top,Excel Esports
0,Divine Impetu,G2 Esports,top,Excel Esports
0,Elemental Discharge,G2 Esports,top,Excel Esports
18,Equivalent Totem,G2 Esports,top,Excel Esports
0,Fast Furious Blade,G2 Esports,top,Excel Esports
0,Final Asteroid,G2 Esports,top,Excel Esports
4,Guardian Totem,G2 Esports,top,Excel Esports
0,Hawk's Eye,G2 Esports,top,Excel Esports
0,Heavenly Vision,G2 Esports,top,Excel Esports
0,Holy Sword,G2 Esports,top,Excel Esports
0,Huntress of Souls,G2 Esports,top,Excel Esports
0,Immortal Breastplate,G2 Esports,top,Excel Esports
0,Imperious Gauntlet,G2 Esports,top,Excel Esports
0,Incapacitor,G2 Esports,top,Excel Esports
0,Legend Aura,G2 Esports,top,Excel Esports
11,Magnetic Disintegrator,G2 Esports,top,Excel Esports
0,Meteorites,G2 Esports,top,Excel Esports
20,Obsidian Battle Plate,G2 Esports,top,Excel Esports
0,Omnipresent Amulet,G2 Esports,top,Excel Esports
0,Omnipresent Spirit,G2 Esports,top,Excel Esports
0,Perfect Scythe,G2 Esports,top,Excel Esports
0,Precise Hammer,G2 Esports,top,Excel Esports
0,Rampage Momentum,G2 Esports,top,Excel Esports
10,Rock Tomb,G2 Esports,top,Excel Esports
20,Sacred Help,G2 Esports,top,Excel Esports
0,Savage Looter,G2 Esports,top,Excel Esports
12,Scythe,G2 Esports,top,Excel Esports
0,Secret Scroll,G2 Esports,top,Excel Esports
12,Sharp Blade,G2 Esports,top,Excel Esports
0,Siege Mace,G2 Esports,top,Excel Esports
0,Soul Hunter,G2 Esports,top,Excel Esports
9,Spirit of the Squire,G2 Esports,top,Excel Esports
0,Spirit of the Warrior,G2 Esports,top,Excel Esports
0,Staff of Conquered Worlds,G2 Esports,top,Excel Esports
18,Steel Aura,G2 Esports,top,Excel Esports
0,Swords of Darkness,G2 Esports,top,Excel Esports
0,The Puppeteer,G2 Esports,top,Excel Esports
0,The Stalker,G2 Esports,top,Excel Esports
0,The Visionary,G2 Esports,top,Excel Esports
0,Thirsty Dagger,G2 Esports,top,Excel Esports
0,Thirsty Scythes,G2 Esports,top,Excel Esports
0,Treasurer's Wisdom,G2 Esports,top,Excel Esports
0,Trimeteor,G2 Esports,top,Excel Esports
0,Unstoppable Lightning,G2 Esports,top,Excel Esports
0,Versatil Saber,G2 Esports,top,Excel Esports
1,Wild Claw,G2 Esports,top,Excel Esports
0,Wild Spirit,G2 Esports,top,Excel Esports
0,Arcane Adrenaline,G2 Esports,jungle,Excel Esports
0,Arcane Explosive,G2 Esports,jungle,Excel Esports
18,Beast Hunter,G2 Esports,jungle,Excel Esports
0,Being of Light,G2 Esports,jungle,Excel Esports
0,Berseker Ax,G2 Esports,jungle,Excel Esports
18,Collecting Hammer,G2 Esports,jungle,Excel Esports
0,Colossal Mace,G2 Esports,jungle,Excel Esports
24,Conquering Staff,G2 Esports,jungle,Excel Esports
13,Crown of the Dwarf King,G2 Esports,jungle,Excel Esports
8,Dance of Death,G2 Esports,jungle,Excel Esports
0,Death Helper,G2 Esports,jungle,Excel Esports
0,Demon Claws,G2 Esports,jungle,Excel Esports
0,Divine Ascent,G2 Esports,jungle,Excel Esports
0,Divine Impetu,G2 Esports,jungle,Excel Esports
18,Elemental Discharge,G2 Esports,jungle,Excel Esports
17,Equivalent Totem,G2 Esports,jungle,Excel Esports
16,Fast Furious Blade,G2 Esports,jungle,Excel Esports
0,Final Asteroid,G2 Esports,jungle,Excel Esports
8,Guardian Totem,G2 Esports,jungle,Excel Esports
8,Hawk's Eye,G2 Esports,jungle,Excel Esports
0,Heavenly Vision,G2 Esports,jungle,Excel Esports
10,Holy Sword,G2 Esports,jungle,Excel Esports
0,Huntress of Souls,G2 Esports,jungle,Excel Esports
14,Immortal Breastplate,G2 Esports,jungle,Excel Esports
0,Imperious Gauntlet,G2 Esports,jungle,Excel Esports
24,Incapacitor,G2 Esports,jungle,Excel Esports
40,Legend Aura,G2 Esports,jungle,Excel Esports
11,Magnetic Disintegrator,G2 Esports,jungle,Excel Esports
0,Meteorites,G2 Esports,jungle,Excel Esports
20,Obsidian Battle Plate,G2 Esports,jungle,Excel Esports
0,Omnipresent Amulet,G2 Esports,jungle,Excel Esports
0,Omnipresent Spirit,G2 Esports,jungle,Excel Esports
0,Perfect Scythe,G2 Esports,jungle,Excel Esports
18,Precise Hammer,G2 Esports,jungle,Excel Esports
15,Rampage Momentum,G2 Esports,jungle,Excel Esports
10,Rock Tomb,G2 Esports,jungle,Excel Esports
0,Sacred Help,G2 Esports,jungle,Excel Esports
20,Savage Looter,G2 Esports,jungle,Excel Esports
15,Scythe,G2 Esports,jungle,Excel Esports
18,Secret Scroll,G2 Esports,jungle,Excel Esports
24,Sharp Blade,G2 Esports,jungle,Excel Esports
0,Siege Mace,G2 Esports,jungle,Excel Esports
0,Soul Hunter,G2 Esports,jungle,Excel Esports
3,Spirit of the Squire,G2 Esports,jungle,Excel Esports
0,Spirit of the Warrior,G2 Esports,jungle,Excel Esports
11,Staff of Conquered Worlds,G2 Esports,jungle,Excel Esports
0,Steel Aura,G2 Esports,jungle,Excel Esports
17,Swords of Darkness,G2 Esports,jungle,Excel Esports
0,The Puppeteer,G2 Esports,jungle,Excel Esports
0,The Stalker,G2 Esports,jungle,Excel Esports
0,The Visionary,G2 Esports,jungle,Excel Esports
0,Thirsty Dagger,G2 Esports,jungle,Excel Esports
0,Thirsty Scythes,G2 Esports,jungle,Excel Esports
17,Treasurer's Wisdom,G2 Esports,jungle,Excel Esports
0,Trimeteor,G2 Esports,jungle,Excel Esports
18,Unstoppable Lightning,G2 Esports,jungle,Excel Esports
11,Versatil Saber,G2 Esports,jungle,Excel Esports
20,Wild Claw,G2 Esports,jungle,Excel Esports
10,Wild Spirit,G2 Esports,jungle,Excel Esports
16,Arcane Adrenaline,G2 Esports,mid,Excel Esports
0,Arcane Explosive,G2 Esports,mid,Excel Esports
0,Beast Hunter,G2 Esports,mid,Excel Esports
0,Being of Light,G2 Esports,mid,Excel Esports
14,Berseker Ax,G2 Esports,mid,Excel Esports
6,Collecting Hammer,G2 Esports,mid,Excel Esports
0,Colossal Mace,G2 Esports,mid,Excel Esports
0,Conquering Staff,G2 Esports,mid,Excel Esports
0,Crown of the Dwarf King,G2 Esports,mid,Excel Esports
0,Dance of Death,G2 Esports,mid,Excel Esports
0,Death Helper,G2 Esports,mid,Excel Esports
0,Demon Claws,G2 Esports,mid,Excel Esports
25,Divine Ascent,G2 Esports,mid,Excel Esports
0,Divine Impetu,G2 Esports,mid,Excel Esports
0,Elemental Discharge,G2 Esports,mid,Excel Esports
18,Equivalent Totem,G2 Esports,mid,Excel Esports
0,Fast Furious Blade,G2 Esports,mid,Excel Esports
0,Final Asteroid,G2 Esports,mid,Excel Esports
2,Guardian Totem,G2 Esports,mid,Excel Esports
0,Hawk's Eye,G2 Esports,mid,Excel Esports
0,Heavenly Vision,G2 Esports,mid,Excel Esports
0,Holy Sword,G2 Esports,mid,Excel Esports
0,Huntress of Souls,G2 Esports,mid,Excel Esports
0,Immortal Breastplate,G2 Esports,mid,Excel Esports
0,Imperious Gauntlet,G2 Esports,mid,Excel Esports
3,Incapacitor,G2 Esports,mid,Excel Esports
0,Legend Aura,G2 Esports,mid,Excel Esports
11,Magnetic Disintegrator,G2 Esports,mid,Excel Esports
0,Meteorites,G2 Esports,mid,Excel Esports
20,Obsidian Battle Plate,G2 Esports,mid,Excel Esports
0,Omnipresent Amulet,G2 Esports,mid,Excel Esports
0,Omnipresent Spirit,G2 Esports,mid,Excel Esports
15,Perfect Scythe,G2 Esports,mid,Excel Esports
0,Precise Hammer,G2 Esports,mid,Excel Esports
0,Rampage Momentum,G2 Esports,mid,Excel Esports
0,Rock Tomb,G2 Esports,mid,Excel Esports
0,Sacred Help,G2 Esports,mid,Excel Esports
0,Savage Looter,G2 Esports,mid,Excel Esports
14,Scythe,G2 Esports,mid,Excel Esports
0,Secret Scroll,G2 Esports,mid,Excel Esports
6,Sharp Blade,G2 Esports,mid,Excel Esports
0,Siege Mace,G2 Esports,mid,Excel Esports
0,Soul Hunter,G2 Esports,mid,Excel Esports
9,Spirit of the Squire,G2 Esports,mid,Excel Esports
0,Spirit of the Warrior,G2 Esports,mid,Excel Esports
0,Staff of Conquered Worlds,G2 Esports,mid,Excel Esports
0,Steel Aura,G2 Esports,mid,Excel Esports
0,Swords of Darkness,G2 Esports,mid,Excel Esports
0,The Puppeteer,G2 Esports,mid,Excel Esports
0,The Stalker,G2 Esports,mid,Excel Esports
0,The Visionary,G2 Esports,mid,Excel Esports
0,Thirsty Dagger,G2 Esports,mid,Excel Esports
0,Thirsty Scythes,G2 Esports,mid,Excel Esports
0,Treasurer's Wisdom,G2 Esports,mid,Excel Esports
0,Trimeteor,G2 Esports,mid,Excel Esports
0,Unstoppable Lightning,G2 Esports,mid,Excel Esports
0,Versatil Saber,G2 Esports,mid,Excel Esports
1,Wild Claw,G2 Esports,mid,Excel Esports
0,Wild Spirit,G2 Esports,mid,Excel Esports
0,Arcane Adrenaline,G2 Esports,bot,Excel Esports
12,Arcane Explosive,G2 Esports,bot,Excel Esports
0,Beast Hunter,G2 Esports,bot,Excel Esports
0,Being of Light,G2 Esports,bot,Excel Esports
0,Berseker Ax,G2 Esports,bot,Excel Esports
12,Collecting Hammer,G2 Esports,bot,Excel Esports
11,Colossal Mace,G2 Esports,bot,Excel Esports
24,Conquering Staff,G2 Esports,bot,Excel Esports
0,Crown of the Dwarf King,G2 Esports,bot,Excel Esports
0,Dance of Death,G2 Esports,bot,Excel Esports
10,Death Helper,G2 Esports,bot,Excel Esports
0,Demon Claws,G2 Esports,bot,Excel Esports
0,Divine Ascent,G2 Esports,bot,Excel Esports
11,Divine Impetu,G2 Esports,bot,Excel Esports
0,Elemental Discharge,G2 Esports,bot,Excel Esports
16,Equivalent Totem,G2 Esports,bot,Excel Esports
0,Fast Furious Blade,G2 Esports,bot,Excel Esports
0,Final Asteroid,G2 Esports,bot,Excel Esports
3,Guardian Totem,G2 Esports,bot,Excel Esports
0,Hawk's Eye,G2 Esports,bot,Excel Esports
